Num,Name,PROTEIN,FAT,CARBON HYDRATE,KCAL
1,アマランサス　玄穀,12.7,6.0,64.9,343
2,あわ　精白粒,11.2,4.4,69.7,346
3,あわ　あわもち,5.1,1.3,45.3,210
4,えんばく　オートミール,13.7,5.7,69.1,350
5,おおむぎ　七分つき押麦,10.9,2.1,72.1,343
6,おおむぎ　押麦　乾,6.7,1.5,78.3,329
7,おおむぎ　押麦　めし,2.2,0.5,28.5,118
8,おおむぎ　米粒麦,7.0,2.1,76.2,333
9,おおむぎ　大麦めん　乾,12.9,1.7,68.0,343
10,おおむぎ　大麦めん　ゆで,4.8,0.6,24.3,121
11,おおむぎ　麦こがし,12.5,5.0,77.1,368
12,キヌア　玄穀,13.4,3.2,69.0,344
13,きび　精白粒,11.3,3.3,70.9,353
14,こむぎ　　国産　普通,10.8,3.1,72.1,329
15,こむぎ　　輸入　軟質,10.1,3.3,75.2,344
16,こむぎ　　輸入　硬質,13.0,3.0,69.4,332
17,薄力粉　1等,8.3,1.5,75.8,349
18,薄力粉　2等,9.3,1.9,74.3,345
19,中力粉　1等,9.0,1.6,75.1,337
20,中力粉　2等,9.7,1.8,74.0,346
21,強力粉　1等,11.8,1.5,71.7,337
22,強力粉　2等,12.6,1.7,70.6,343
23,強力粉　全粒粉,12.8,2.9,68.2,320
24,プレミックス粉　お好み焼き用,10.1,1.9,73.6,335
25,プレミックス粉　ホットケーキ用,7.8,4.0,74.4,360
26,プレミックス粉　から揚げ用,10.2,1.2,70.0,311
27,プレミックス粉　天ぷら用,8.8,1.3,76.1,337
28,プレミックス粉　天ぷら用　バッター,3.3,0.5,30.2,136
29,プレミックス粉　天ぷら用　バッター　揚げ,4.3,47.7,37.0,588
30,角形食パン　食パン,8.9,4.1,46.4,248
31,角形食パン　焼き,9.7,4.5,50.6,269
32,角形食パン　耳を除いたもの,8.2,3.7,42.6,226
33,角形食パン　耳,9.7,4.5,50.8,273
34,食パン　リーンタイプ,8.0,3.7,47.5,246
35,食パン　リッチタイプ,7.8,6.0,45.6,256
36,山形食パン　食パン,7.8,3.5,47.9,246
37,コッペパン,8.5,3.8,49.1,259
38,乾パン,9.5,4.4,78.8,386
39,フランスパン,9.4,1.3,57.5,289
40,ライ麦パン,8.4,2.2,52.7,252
41,全粒粉パン,7.9,5.7,45.5,251
42,ぶどうパン,8.2,3.5,51.1,263
43,ロールパン,10.1,9.0,48.6,309
44,クロワッサン　レギュラータイプ,6.5,20.4,51.5,406
45,クロワッサン　リッチタイプ,7.9,26.8,43.9,438
46,くるみパン,8.2,12.6,38.7,292
47,イングリッシュマフィン,8.1,3.6,40.8,224
48,ナン,10.3,3.4,47.6,257
49,ベーグル,9.6,2.0,54.6,270
50,うどん　生,6.1,0.6,56.8,249
51,うどん　ゆで,2.6,0.4,21.6,95
52,うどん　半生うどん,7.8,3.4,62.5,296
53,干しうどん　乾,8.5,1.1,71.9,333
54,干しうどん　ゆで,3.1,0.5,25.8,117
55,そうめん・ひやむぎ　乾,9.5,1.1,72.7,333
56,そうめん・ひやむぎ　ゆで,3.5,0.4,25.8,114
57,手延そうめん・手延ひやむぎ　乾,9.3,1.5,68.9,312
58,手延そうめん・手延ひやむぎ　ゆで,3.5,0.6,25.5,119
59,中華めん　生,8.6,1.2,55.7,249
60,中華めん　ゆで,4.9,0.6,29.2,133
61,半生中華めん　,9.9,4.0,61.2,305
62,蒸し中華めん　蒸し中華めん,4.9,1.7,35.6,162
63,蒸し中華めん  ソテー,5.2,4.9,38.9,211
64,干し中華めん　乾,11.7,1.6,70.2,337
65,干し中華めん　ゆで,4.9,0.5,27.5,132
66,沖縄そば　生,9.2,2.0,54.2,266
67,沖縄そば　ゆで,5.2,0.8,28.0,132
68,干し沖縄そば　乾,12.0,1.7,67.8,317
69,干し沖縄そば　ゆで,5.2,0.6,28.6,132
70,即席中華めん　油揚げ味付け,10.1,16.7,63.5,424
71,即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,10.1,19.1,61.4,439
72,即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,2.3,4.4,13.4,100
